item_name,description,auth_choosen_name,preview,preview_status,video_360,video_360_status,zpr_file_status,texture_pack_link_status,Submission accepted
GEN DRESS,"Genesis and Genetics are two words for which the dress's name was born.
We are living in an era where human beings need to re-connect with their beginning, with nature, and feel it as part of their DNA if they want to continue living in this world.
The dress represents this new form of life, a balanced fusion of organic shapes and different materials (especially organic silk) layering and overlapping in harmony.
The colors contrast in order to represent the never-ending cycle of life and passing of time, vibrant and muted, new and old, origins and tradition in balance with new ways and contemporary visions.",Sebastian Ruelas,"https://dl.airtable.com/.attachments/26609c4b31c471e067e60de4eee70fb5/1aac74f6/DRESS2000.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a0d3b59f8784769f, ",All good,"https://dl.airtable.com/.attachments/ef2816097df6bf5668aa5e7363dfb27e/5840211c/2_0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=515c71c1f8541f43, ",All good,All good,All good,1
Totem Bomber Jacket ,"The idea behind this garment was to create something that can mix the simplicity of a bomber jacket with a complex and appealing design. The colors I have chosen have the
purpose to recall hot places in contrast to the classic use of a bomber jacket to fight the cold.
The design aims to stimulate the imagination of the wearer giving him total control over what he sees in the shapes of the jacket.
I choose to develop this garment in 3D because realize it in real live could be very expensive but I still wanted to evaluate the impact of such design on the public.",Alison Gadaleta,"https://dl.airtable.com/.attachments/ebabf678de5c3a12d7dbc78c4f69e302/fe2fa7c2/2k_front_totem_bomber_jacket.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=8f498357236e3158, ",All good,"https://dl.airtable.com/.attachments/0fbd3a378835c2edc97117b5a375a8be/24ac310d/360_totem_bomber_jacket.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=caad20fb218d9795, ",All good,All good,All good,1
Latex carrot,"Do you want a sweet carrot?

From: A.D.A. (digital  atelier)",Papuga Lab,"https://dl.airtable.com/.attachments/58bd8a450188b05033c52b337404593e/b8cf3cc3/Z10.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=764f2bd76713cee1, ",All good,"https://dl.airtable.com/.attachments/4eb12435312bf185de5241e3505ea2f3/1b65d0ea/VIDOMORKOVKA0001-0150.hevc.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=75f51a3546565df7, ",All good,All good,All good,1
Pacifier sleepers,"Digital adult sleepers overalls with print: ""pacifier"" can back to childrenhood and present funny mood",Tatiana Korneeva @Putcutclo ,"https://dl.airtable.com/.attachments/6c1e297741d59b5baea9e637f7151e85/a00d0d15/pacifier_sleepers_0.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=0e851d6374736b3d, ",All good,"https://dl.airtable.com/.attachments/916335724bd4ba3c6f277397749996ba/047cb9bf/pacifiersleepers2.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=04a662572ec7e675, ",All good,All good,All good,1
Puff-hem dress,"A green-pink dress with a puffy hem that allows you not to languish in the summer, and if it gets colder, you can even sit on the cold steps.",Natalia Samsonova @3d.fox.soul,"https://dl.airtable.com/.attachments/844dff898bd7c3da4544b5f868f0ed5e/30d3f077/puffhemdressviz_tr.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=bb3acc1ec451e213, ",All good,"https://dl.airtable.com/.attachments/c4d9a8b3759ce0bf176cbe96b524fbbe/d7d9c5ce/puffhem_dress_video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=82f100b931c3cac8, ",All good,All good,All good,1
Corrosion,"I was inspired by the beauty of metal corrosion, incredible overflows of rust and peeling paint in places. To create the shape of the dress, I used the blots I drew and then experimented with textures in Photoshop",Rita Valeeva,"https://dl.airtable.com/.attachments/44a8a8c0aeac52fd7fa54d1a466a418a/d4ea1abe/corrosion_16.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=854186ca29140eb1, ",All good,"https://dl.airtable.com/.attachments/8406a8cc2434c7d9c271fc7714b47e1c/523531fe/corrosion_360_s.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=2e7995aad25143b9, ",All good,All good,All good,1
Light Coat,"A lot of my designs are focused on bringing the digital and the natural together. In this case I my starting point was in the ethereal beauty of the shadows of plants in the wind. I found it fascinating how it contrasts with the way we view digital images, where we are able to see digital images through the light our screens emit, we can see these projections of plants by the absence of that light. The garments themselves are transparent in a purposefully artificial way to let the natural but digitised light shine from withing them.  ",Non Fungible Clothing,"https://dl.airtable.com/.attachments/3ae118105ae368b483ee45a164781f2f/4cc8b100/CoatFinal.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=540c874503020587, ",All good,"https://dl.airtable.com/.attachments/8805fd7b99ae0153f3780396f9d3725f/061a3b9b/RenderCoat_1.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=787b00d2f8d262a0, ",All good,All good,All good,1
Crystals,Purplle crystal ,Porka_ X,"https://dl.airtable.com/.attachments/796b8ccad55f64d58213d50f23664c8e/788071f6/porkajacket_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=c28f5aef36ab1cbd, ",All good,"https://dl.airtable.com/.attachments/8a8994124277718a45168a09f79c8adf/30fe9323/purple0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=46b8e5044b0f85ee, ",All good,All good,All good,1
Biomorphic dress,dress was inspired by organic shapes,Dinara Garaeva (whynoen),"https://dl.airtable.com/.attachments/4d5e9f9a62b85e412248fd0b2e3f6b74/99f5cd1c/dress1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=26f4b923b3bac95a, ",All good,"https://dl.airtable.com/.attachments/1ee968f3c96f3a394568cb973c2eb0f4/91c78a73/dress1.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a18a0bcd5efc4426, ",All good,All good,All good,1
Mermaid Suit,This is my interpretation of a mermaid costume inspired by the shapes of the sea wave and the incredible colors of the ocean depths.,Ramila Akhmedova,"https://dl.airtable.com/.attachments/4706c5c68a0376af274f1b3470bb9d35/49ff88f6/Mermaid_Blue4096.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=336056c793cf9470, ",All good,"https://dl.airtable.com/.attachments/fbef1c54e884d0d9c797c58d631b05ec/6a107605/Mermaid_Video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=e6f72f119cc93880, ",All good,All good,All good,1
Shimmer,"This dress is included in the collection ""Midsummer night"".  
Cool summer nights beckon with the sweet scent of mattiola in the garden, where the dew shimmers on the cobwebs, and the moon accompanies you on a midnight romantic date with him...",Galina Seredenko,"https://dl.airtable.com/.attachments/2f25e0de759f66aa8206e3bb8588c835/9f5536a9/Shimmer.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5cceed55a8207856, ",All good,"https://dl.airtable.com/.attachments/f983e80dcff7b6f78a879ff49005e3bc/dfe5802a/Galina_Seredenko_Shimmer.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=8f339334e79d4307, ",All good,All good,All good,1
Military crochet pant,"The garment was developed from existing garments with a view to recycling a crochet cloth with a classic military padding.
Genderless, if you like it, you can wear it.",Andrea Lolato,"https://dl.airtable.com/.attachments/6a43f690971194ed43afdfd5b671d292/9297720e/MILITARYWAVEPANTS_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5b83cd4ff77af66a, ",All good,"https://dl.airtable.com/.attachments/6752f7020222b229acb98ddcc4f54c88/ca2f1c4a/MILITARYWAVEPANTS_0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=129f722ed92244e6, ",All good,All good,All good,1
ZERO_BOT,ZERO is an edgy but casual spin on puffer-wear that draws Inspiration from retro anime and space suits; an iridescent and hydrophobic fit for the modern introvert. Pants have in-built programmable LED displays. You can't drown in this drip.,EZZYLAND,"https://dl.airtable.com/.attachments/00c9e1f1f1148387fae1d52c303515f4/0d5296f4/zero_bot_2k_post.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=7e355140ff26c23d, ",All good,"https://dl.airtable.com/.attachments/e2957196001dd5935da8383fad3b57e2/e519a0b2/zero_bot.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5a06edb7e24866a3, ",All good,All good,All good,1
